"Supplied Name","guid","scientificName","family","kingdom","Authority","Country","Kingdom","Environment","Origin","Evidence of impact","Verification","Year","Source"
"Ipomoea pandurata","https://id.biodiversity.org.au/node/apni/2911275","Ipomoea pandurata","Convolvulaceae",,"G. Mey. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ipomoea pes-tigridis","https://id.biodiversity.org.au/node/apni/2894018","Ipomoea pes-tigridis","Convolvulaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ipomoea purpurea","https://id.biodiversity.org.au/node/apni/2891393","Ipomoea purpurea","Convolvulaceae",,"Roth (L.)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ipomoea quamoclit","https://id.biodiversity.org.au/node/apni/2910303","Ipomoea quamoclit","Convolvulaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ipomoea triloba","https://id.biodiversity.org.au/node/apni/2902519","Ipomoea triloba","Convolvulaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris domestica","https://id.biodiversity.org.au/node/apni/2889796","Iris domestica","Iridaceae",,"Goldblatt & Mabb. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris foetidissima","https://id.biodiversity.org.au/node/apni/2916038","Iris foetidissima","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris germanica","https://id.biodiversity.org.au/node/apni/2894464","Iris germanica","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris laevigata","https://id.biodiversity.org.au/node/apni/2915440","Iris laevigata","Iridaceae",,"Fisch.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris orientalis","https://id.biodiversity.org.au/node/apni/2886236","Iris orientalis","Iridaceae",,"Mill.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris pseudacorus","https://id.biodiversity.org.au/node/apni/2914189","Iris pseudacorus","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris spuria","https://id.biodiversity.org.au/name/apni/77662","Iris spuria","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris unguicularis","https://id.biodiversity.org.au/node/apni/2914642","Iris unguicularis","Iridaceae",,"Poir.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iris xiphium","https://id.biodiversity.org.au/taxon/apni/51287418","Iris xiphium","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ischaemum afrum","https://id.biodiversity.org.au/node/apni/2914867","Ischaemum afrum","Poaceae",,"Dandy (J.F.Gmel.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ischaemum timorense","https://id.biodiversity.org.au/name/apni/170191","Ischaemum timorense","Poaceae",,"Kunth","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Isolepis cernua","https://id.biodiversity.org.au/node/apni/2920854","Isolepis cernua","Cyperaceae",,"Roem. & Schult. (Vahl)","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis hookeriana","https://id.biodiversity.org.au/node/apni/2906932","Isolepis trachysperma","Cyperaceae",,"Boeckeler","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis hystrix","https://id.biodiversity.org.au/node/apni/2918875","Isolepis hystrix","Cyperaceae",,"Nees (Thunb.)","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis marginata","https://id.biodiversity.org.au/node/apni/2898995","Isolepis marginata","Cyperaceae",,"A.Dietr. (Thunb.)","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis prolifera","https://id.biodiversity.org.au/node/apni/2891248","Isolepis prolifera","Cyperaceae",,"R.Br. (Rottb.)","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis sepulcralis","https://id.biodiversity.org.au/node/apni/2893025","Isolepis sepulcralis","Cyperaceae",,"Steud.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis setacea","https://id.biodiversity.org.au/taxon/apni/51283165","Isolepis setacea","Cyperaceae",,"R.Br. (L.)","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Isolepis stellata","https://id.biodiversity.org.au/node/apni/2891073","Isolepis stellata","Cyperaceae",,"K.L.Wilson (C.B.Clarke)","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Iva axillaris","https://id.biodiversity.org.au/taxon/apni/51268547","Iva axillaris","Asteraceae",,"Pursh","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia flexuosa","https://id.biodiversity.org.au/node/apni/2907709","Ixia flexuosa","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia longituba","https://id.biodiversity.org.au/node/apni/2893892","Ixia longituba","Iridaceae",,"N.E.Br.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia maculata","https://id.biodiversity.org.au/node/apni/2909517","Ixia maculata","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia maculata x polystachya",,,,,,"Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia paniculata","https://id.biodiversity.org.au/node/apni/2890850","Ixia paniculata","Iridaceae",,"D.Delaroche","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia polystachya","https://id.biodiversity.org.au/node/apni/2899818","Ixia polystachya","Iridaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Ixia viridiflora","https://id.biodiversity.org.au/node/apni/2908266","Ixia viridiflora","Iridaceae",,"Lam.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jacaranda mimosifolia","https://id.biodiversity.org.au/node/apni/2911572","Jacaranda mimosifolia","Bignoniaceae",,"D. Don","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jacobaea erucifolia subsp. arenaria",,,,,"(Soó) B. Nord. & Greuter","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jacobaea vulgaris","https://id.biodiversity.org.au/name/apni/249430","Jacobaea vulgaris","Asteraceae",,"Gaertn.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jasminum mesnyi","https://id.biodiversity.org.au/node/apni/2914462","Jasminum mesnyi","Oleaceae",,"Hance","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jasminum multiflorum","https://id.biodiversity.org.au/node/apni/2898217","Jasminum multiflorum","Oleaceae",,"Andrews (Burm. f.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jasminum polyanthum","https://id.biodiversity.org.au/node/apni/2910456","Jasminum polyanthum","Oleaceae",,"Franch.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jassa marmorata","urn:lsid:biodiversity.org.au:afd.taxon:09619bee-9270-4582-86d8-fdd7f61996da","Jassa marmorata","Ischyroceridae",,"Holmes, 1903","Australia","Animalia","marine","Alien","No","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS)."
"Jatropha curcas","https://id.biodiversity.org.au/node/apni/2915436","Jatropha curcas","Euphorbiaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jatropha gossypifolia","https://id.biodiversity.org.au/node/apni/2899936","Jatropha gossypifolia","Euphorbiaceae",,"L.","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jatropha multifida","https://id.biodiversity.org.au/instance/apni/659140","Jatropha multifida","Euphorbiaceae",,"L.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Jatropha podagrica","https://id.biodiversity.org.au/node/apni/2898427","Jatropha podagrica","Euphorbiaceae",,"Hook.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juglans regia","https://id.biodiversity.org.au/node/apni/2896364","Juglans regia","Juglandaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus acuminatus","https://id.biodiversity.org.au/node/apni/2920734","Juncus acuminatus","Juncaceae",,"Michx.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus acutiflorus","https://id.biodiversity.org.au/node/apni/2911527","Juncus acutiflorus","Juncaceae",,"Ehrh. ex Hoffm.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus acutus","https://id.biodiversity.org.au/node/apni/2893716","Juncus acutus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Pagad S., Hayes K, Katsanevakis S., Costello M. J. (2015). World Register of Introduced Marine Species (WRIMS). 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus acutus subsp. acutus","https://id.biodiversity.org.au/node/apni/2887983","Juncus acutus subsp. acutus","Juncaceae",,,"Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories."
"Juncus amabilis","https://id.biodiversity.org.au/node/apni/2889171","Juncus amabilis","Juncaceae",,"Edgar","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus aridicola","https://id.biodiversity.org.au/node/apni/2917307","Juncus aridicola","Juncaceae",,"L.A.S.Johnson","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus articulatus","https://id.biodiversity.org.au/node/apni/2902111","Juncus articulatus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus bufonius","https://id.biodiversity.org.au/node/apni/2904997","Juncus bufonius","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus bulbosus","https://id.biodiversity.org.au/node/apni/2891506","Juncus bulbosus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus canadensis","https://id.biodiversity.org.au/node/apni/2919214","Juncus canadensis","Juncaceae",,"J.Gay ex Laharpe","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus capensis","https://id.biodiversity.org.au/node/apni/2892960","Juncus capensis","Juncaceae",,"Thunb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus capillaceus","https://id.biodiversity.org.au/node/apni/2890218","Juncus capillaceus","Juncaceae",,"Lam.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus capitatus","https://id.biodiversity.org.au/node/apni/2915626","Juncus capitatus","Juncaceae",,"Weigel","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus conglomeratus","https://id.biodiversity.org.au/node/apni/2916933","Juncus conglomeratus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus continuus","https://id.biodiversity.org.au/node/apni/2908993","Juncus continuus","Juncaceae",,"L.A.S.Johnson","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus dichotomus","https://id.biodiversity.org.au/node/apni/2915033","Juncus cognatus","Juncaceae",,"Elliott","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus effusus","https://id.biodiversity.org.au/node/apni/2887997","Juncus effusus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus ensifolius","https://id.biodiversity.org.au/node/apni/2903683","Juncus ensifolius","Juncaceae",,"Wikstr.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus filicaulis","https://id.biodiversity.org.au/node/apni/2901749","Juncus filicaulis","Juncaceae",,"Buchenau","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus fockei","https://id.biodiversity.org.au/node/apni/2896532","Juncus fockei","Juncaceae",,"Buchenau","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus fontanesii","https://id.biodiversity.org.au/node/apni/2901821","Juncus fontanesii","Juncaceae",,"J.Gay ex Laharpe","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus homalocaulis","https://id.biodiversity.org.au/node/apni/2918948","Juncus homalocaulis","Juncaceae",,"F.Muell. ex Benth.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus imbricatus","https://id.biodiversity.org.au/node/apni/2888089","Juncus imbricatus","Juncaceae",,"Laharpe","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus inflexus","https://id.biodiversity.org.au/node/apni/2902185","Juncus inflexus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus kraussii","https://id.biodiversity.org.au/node/apni/2900900","Juncus kraussii","Juncaceae",,"Hochst.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus microcephalus","https://id.biodiversity.org.au/node/apni/2900324","Juncus microcephalus","Juncaceae",,"Humb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus oxycarpus","https://id.biodiversity.org.au/node/apni/2906027","Juncus oxycarpus","Juncaceae",,"E.Mey. ex Kunth","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus planifolius","https://id.biodiversity.org.au/node/apni/2910276","Juncus planifolius","Juncaceae",,"R.Br.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus polyanthemus","https://id.biodiversity.org.au/node/apni/2894384","Juncus polyanthemus","Juncaceae",,"Buchenau","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus procerus","https://id.biodiversity.org.au/node/apni/2892782","Juncus procerus","Juncaceae",,"E.Mey.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus squarrosus","https://id.biodiversity.org.au/node/apni/2906383","Juncus squarrosus","Juncaceae",,"L.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus subnodulosus","https://id.biodiversity.org.au/node/apni/2904964","Juncus subnodulosus","Juncaceae",,"Schrank","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus subsecundus","https://id.biodiversity.org.au/node/apni/2908460","Juncus subsecundus","Juncaceae",,"N.A.Wakef.","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus tenuis","https://id.biodiversity.org.au/node/apni/2888488","Juncus tenuis","Juncaceae",,"Willd.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juncus usitatus","https://id.biodiversity.org.au/node/apni/2896389","Juncus usitatus","Juncaceae",,"L.A.S.Johnson","Australia","Plantae","terrestrial/freshwater","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juniperus chinensis","https://id.biodiversity.org.au/node/apni/2906360","Juniperus chinensis","Cupressaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juniperus communis","NZOR-6-51892","Juniperus communis","Cupressaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Juniperus virginiana","NZOR-6-29847","Juniperus virginiana","Cupressaceae",,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Justicia betonica","https://id.biodiversity.org.au/node/apni/2908032","Justicia betonica","Acanthaceae",,"L.","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Justicia caudata","https://id.biodiversity.org.au/node/apni/2901367","Justicia caudata","Acanthaceae",,"A.Gray","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kaempferia galanga",,,,,"L.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe beauverdii","https://id.biodiversity.org.au/node/apni/2909482","Bryophyllum beauverdii","Crassulaceae",,"Raym.-Hamet","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe daigremontiana","https://id.biodiversity.org.au/node/apni/2899323","Bryophyllum daigremontianum","Crassulaceae",,"Raym.-Hamet & H. Perrier","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe delagoensis","https://id.biodiversity.org.au/node/apni/2905853","Bryophyllum delagoense","Crassulaceae",,"Eckl. & Zeyh.","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Australian Weeds Committee (2012). Noxious weeds list for Australian States and Territories. 
Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe fedtschenkoi","https://id.biodiversity.org.au/node/apni/2914492","Bryophyllum fedtschenkoi","Crassulaceae",,"Raym.-Hamet & H. Perrier","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe longiflora","https://id.biodiversity.org.au/node/apni/2908753","Kalanchoe sexangularis","Crassulaceae",,"Schltr.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe pinnata","https://id.biodiversity.org.au/node/apni/2911886","Bryophyllum pinnatum","Crassulaceae",,"Pers. (Lam.)","Australia","Plantae","terrestrial","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe prolifera","https://id.biodiversity.org.au/node/apni/2903131","Bryophyllum proliferum","Crassulaceae",,"(Bow.) R.-Hamet","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kalanchoe sexangularis","https://id.biodiversity.org.au/node/apni/2908753","Kalanchoe sexangularis","Crassulaceae",,"N.E.Br.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kennedia nigricans","https://id.biodiversity.org.au/node/apni/2889334","Kennedia nigricans","Fabaceae",,"Lindl.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kennedia rubicunda","https://id.biodiversity.org.au/node/apni/2889383","Kennedia rubicunda","Fabaceae",,"Vent.","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Khaya senegalensis","https://id.biodiversity.org.au/node/apni/2911973","Khaya senegalensis","Meliaceae",,"A. Juss. (Desr.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kickxia elatine","https://id.biodiversity.org.au/node/apni/2918865","Kickxia elatine","Plantaginaceae",,"Dumort. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kickxia spuria","https://id.biodiversity.org.au/node/apni/2900164","Kickxia spuria","Plantaginaceae",,"Dumort. (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kniphofia uvaria","https://id.biodiversity.org.au/node/apni/2908665","Kniphofia uvaria","Asphodelaceae",,"Oken (L.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Koeleria macrantha","https://id.biodiversity.org.au/node/apni/2888070","Koeleria macrantha","Poaceae",,"Schult. (Ledeb.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Koelreuteria elegans","https://id.biodiversity.org.au/node/apni/2913179","Koelreuteria elegans","Sapindaceae",,"A.C. Sm. (Seem.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Koelreuteria paniculata","ALA_Koelreuteria_paniculata","Koelreuteria paniculata","Sapindaceae",,"Laxm.","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kummerowia striata","https://id.biodiversity.org.au/node/apni/2912896","Kummerowia striata","Fabaceae",,"Schindl. (Thunb.)","Australia","Plantae","terrestrial","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kunzea baxteri","https://id.biodiversity.org.au/node/apni/2910179","Kunzea baxteri","Myrtaceae",,"Schauer (Klotzsch)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kunzea ericoides","https://id.biodiversity.org.au/node/apni/2916325","Kunzea ericoides","Myrtaceae",,"Joy Thomps. (A.Rich.)","Australia","Plantae","terrestrial","Native/Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kyllinga brevifolia","https://id.biodiversity.org.au/node/apni/2915306","Cyperus brevifolius","Cyperaceae",,"Rottb.","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kyllinga odorata","https://id.biodiversity.org.au/node/apni/2901146","Cyperus sesquiflorus","Cyperaceae",,"Vahl","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kyllinga polyphylla","https://id.biodiversity.org.au/node/apni/2919232","Cyperus aromaticus","Cyperaceae",,"Willd. ex Kunth","Australia","Plantae","terrestrial/freshwater","Alien","Yes","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kyllinga pulchella","https://id.biodiversity.org.au/taxon/apni/51283078","Cyperus bracheilema","Cyperaceae",,"Kunth","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
"Kyllinga squamulata","https://id.biodiversity.org.au/node/apni/2891496","Cyperus metzii","Cyperaceae",,"Vahl","Australia","Plantae","terrestrial/freshwater","Alien","No","Yes","2017","Randall, R.P. (2007). The Introduced Flora of Australia and its Weed Status."
